index,,in Watt,,,,in nm (not used for now),in cm2,in cm2,in gCO2e,in kgSb e,,
model,Manufacturer,TDP,n_cores,TDP_per_core,Release_year,feature_size,die_area,die_area_per_core,embodied_gwp_per_core,embodied_adp_per_core,source,comment
Ryzen 5 2600,,65,6,10.8,,,,0,1523.333333,3.40E-03,https://www.techpowerup.com/cpu-specs/,
Ryzen 5 3400G,,65,4,16.3,,,,0,2285,5.10E-03,https://www.techpowerup.com/cpu-specs/,
Ryzen 5 3500U,,15,4,3.8,,,,0,2285,5.10E-03,https://www.techpowerup.com/cpu-specs/,
Ryzen 5 3600,,65,6,10.8,,,,0,1523.333333,3.40E-03,https://www.techpowerup.com/cpu-specs/,
Ryzen 5 3600X,,95,6,15.8,,,,0,1523.333333,3.40E-03,https://www.techpowerup.com/cpu-specs/,
Ryzen 7 2700X,,105,8,13.1,,,,0,1142.5,2.55E-03,https://www.techpowerup.com/cpu-specs/,
Ryzen 7 3700X,,65,8,8.1,,,,0,1142.5,2.55E-03,https://www.techpowerup.com/cpu-specs/,
Ryzen 7 3800X,,105,8,13.1,,,,0,1142.5,2.55E-03,https://www.techpowerup.com/cpu-specs/,
Ryzen 9 3900X,,125,12,10.4,,,,0,761.6666667,1.70E-03,https://www.techpowerup.com/cpu-specs/,
Ryzen 9 3950X,,105,16,6.6,,,,0,571.25,1.28E-03,https://www.techpowerup.com/cpu-specs/,
Ryzen Threadripper 2990WX,,250,32,7.8,,,,0,285.625,6.38E-04,https://www.techpowerup.com/cpu-specs/,
Ryzen Threadripper 3990X,,280,64,4.4,,,,0,142.8125,3.19E-04,https://www.techpowerup.com/cpu-specs/,
Xeon E5-2660 v3,,105,10,10.5,,,,0,914,2.04E-03,https://ark.intel.com/content/www/us/en/ark/products/81706/intel-xeon-processor-e5-2660-v3-25m-cache-2-60-ghz.html,
Xeon E5-2665,,115,8,14.4,,,,0,1142.5,2.55E-03,https://ark.intel.com/content/www/us/en/ark/products/64597/intel-xeon-processor-e5-2665-20m-cache-2-40-ghz-8-00-gt-s-intel-qpi.html,
Xeon E5-2670,,115,8,14.4,,,,0,1142.5,2.55E-03,https://ark.intel.com/content/www/us/en/ark/products/64595/intel-xeon-processor-e5-2670-20m-cache-2-60-ghz-8-00-gt-s-intel-qpi.html,
Xeon E5-2670 v2,,115,10,11.5,,,,0,914,2.04E-03,https://ark.intel.com/content/www/us/en/ark/products/75275/intel-xeon-processor-e5-2670-v2-25m-cache-2-50-ghz.html,
Xeon E5-2680 v3,,120,12,10.0,,,,0,761.6666667,1.70E-03,https://www.intel.co.uk/content/www/uk/en/products/processors/xeon/e5-processors/e5-2680-v3.html,
Xeon E5-2683 v4,,120,16,7.5,,,,0,571.25,1.28E-03,https://www.intel.co.uk/content/www/uk/en/products/processors/xeon/e5-processors/e5-2683-v4.html,
Xeon E5-2690 v2,,130,10,13.0,,,,0,914,2.04E-03,https://ark.intel.com/content/www/us/en/ark/products/75279/intel-xeon-processor-e5-2690-v2-25m-cache-3-00-ghz.html,
Xeon E5-2690 v3,,135,12,11.3,,,,0,761.6666667,1.70E-03,https://ark.intel.com/content/www/us/en/ark/products/81713/intel-xeon-processor-e5-2690-v3-30m-cache-2-60-ghz.html,
Xeon E5-2695 v4,,120,18,6.7,,,,0,507.7777778,1.13E-03,https://ark.intel.com/content/www/us/en/ark/products/91316/intel-xeon-processor-e5-2695-v4-45m-cache-2-10-ghz.html,
Xeon E5-2697 v4,Intel,145,18,8.1,2016,14,4.56,0.2533333333,507.7777778,1.13E-03,https://ark.intel.com/content/www/us/en/ark/products/91755/intel-xeon-processor-e5-2697-v4-45m-cache-2-30-ghz.html,
Xeon E5-2699 v3,,145,18,8.1,,,,0,507.7777778,1.13E-03,https://ark.intel.com/content/www/us/en/ark/products/81061/intel-xeon-processor-e5-2699-v3-45m-cache-2-30-ghz.html,
Xeon E5-2699 v4,,145,22,6.6,,,,0,415.4545455,9.27E-04,https://ark.intel.com/content/www/us/en/ark/products/91317/intel-xeon-processor-e5-2699-v4-55m-cache-2-20-ghz.html,
Xeon E5-4610 v4,,105,10,10.5,,,,0,914,2.04E-03,https://ark.intel.com/content/www/us/en/ark/products/93812/intel-xeon-processor-e5-4610-v4-25m-cache-1-80-ghz.html,
Xeon E5-4620,,95,8,11.9,,,,0,1142.5,2.55E-03,https://ark.intel.com/content/www/us/en/ark/products/64607/intel-xeon-processor-e5-4620-16m-cache-2-20-ghz-7-20-gt-s-intel-qpi.html,
Xeon E5-4650L,,115,8,14.4,,,,0,1142.5,2.55E-03,https://ark.intel.com/content/www/us/en/ark/products/64606/intel-xeon-processor-e5-4650l-20m-cache-2-60-ghz-8-00-gt-s-intel-qpi.html,
Xeon E7-8867 v3,,165,16,10.3,,,,0,571.25,1.28E-03,https://ark.intel.com/content/www/us/en/ark/products/84681/intel-xeon-processor-e7-8867-v3-45m-cache-2-50-ghz.html,
Xeon E7-8880 v4,,150,22,6.8,,,,0,415.4545455,9.27E-04,https://www.intel.co.uk/content/www/uk/en/products/processors/xeon/e7-processors/e7-8880-v4.html,
Xeon Gold 6142,,150,16,9.4,,,,0,571.25,1.28E-03,https://ark.intel.com/content/www/us/en/ark/products/120487/intel-xeon-gold-6142-processor-22m-cache-2-60-ghz.html,
Xeon Gold 6148,Intel,150,20,,2017,14,6.94,0.347,457,1.02E-03,https://en.wikichip.org/wiki/intel/microarchitectures/skylake_(server)https://www.intel.fr/content/www/fr/fr/products/sku/120489/intel-xeon-gold-6148-processor-27-5m-cache-2-40-ghz/specifications.html,die size for XCC configuration
Xeon Gold 6248,Intel,150,20,7.5,2019,14,6.94,0.347,457,1.02E-03,https://www.intel.fr/content/www/fr/fr/products/sku/192446/intel-xeon-gold-6248-processor-27-5m-cache-2-50-ghz/specifications.html,We can see on [[https://www.intel.fr/content/www/fr/fr/products/sku/192446/intel-xeon-gold-6248-processor-27-5m-cache-2-50-ghz/specifications.html][Intel's webpage]] that it is a processor of the Cascade Lake architecture. On [[https://en.wikichip.org/wiki/intel/microarchitectures/cascade_lake#LCC_SoC][Wikichip]]
Xeon Gold 6252,,150,24,6.3,,,,0,380.8333333,8.50E-04,https://ark.intel.com/content/www/us/en/ark/products/192447/intel-xeon-gold-6252-processor-35-75m-cache-2-10-ghz.html,
Xeon L5640 ,,60,6,10.0,,,,0,1523.333333,3.40E-03,https://ark.intel.com/content/www/us/en/ark/products/47926/intel-xeon-processor-l5640-12m-cache-2-26-ghz-5-86-gt-s-intel-qpi.html,
Xeon Phi 5110P,,225,60,3.8,,,,0,152.3333333,3.40E-04,https://ark.intel.com/content/www/us/en/ark/products/71992/intel-xeon-phi-coprocessor-5110p-8gb-1-053-ghz-60-core.html,
Xeon Platinum 9282,,400,56,7.1,,,,0,163.2142857,3.64E-04,https://www.techpowerup.com/cpu-specs/,
Xeon X3430,,95,4,23.8,,,,0,2285,5.10E-03,https://ark.intel.com/content/www/us/en/ark/products/42927/intel-xeon-processor-x3430-8m-cache-2-40-ghz.html,
Xeon X5660,,95,6,15.8,,,,0,1523.333333,3.40E-03,https://ark.intel.com/content/www/us/en/ark/products/47921/intel-xeon-processor-x5660-12m-cache-2-80-ghz-6-40-gt-s-intel-qpi.html,
EPYC Embedded 9124,AMD,200,16,12.5,2023,5,6.85,0.428125,571.25,1.28E-03,https://www.techpowerup.com/cpu-specs/epyc-embedded-9124.c3194,die size = 4*72 mm² (5nm) + 397 (6nm)
EPYC Embedded 9254,AMD,200,24,8.3,2023,5,6.85,0.2854166667,380.8333333,8.50E-04,https://www.techpowerup.com/cpu-specs/epyc-embedded-9254.c3193,die size = 4*72 mm² (5nm) + 397 (6nm)
EPYC Embedded 9354,AMD,280,32,8.8,2023,5,9.73,0.3040625,285.625,6.38E-04,https://www.techpowerup.com/cpu-specs/epyc-embedded-9354.c3192,die size = 8*72 mm² (5nm) + 397 (6nm)
EPYC Embedded 9354P,AMD,280,32,8.8,2023,5,9.73,0.3040625,285.625,6.38E-04,https://www.techpowerup.com/cpu-specs/epyc-embedded-9354p.c3195,die size = 8*72 mm² (5nm) + 397 (6nm)
EPYC Embedded 9454,AMD,290,48,6.0,2023,5,9.73,0.2027083333,190.4166667,4.25E-04,https://www.techpowerup.com/cpu-specs/epyc-embedded-9454.c3191,die size = 8*72 mm² (5nm) + 397 (6nm)
EPYC Embedded 9454P,AMD,290,48,6.0,2023,5,9.73,0.2027083333,190.4166667,4.25E-04,https://www.techpowerup.com/cpu-specs/epyc-embedded-9454p.c3196,die size = 8*72 mm² (5nm) + 397 (6nm)
EPYC Embedded 9554,AMD,360,64,5.6,2023,5,9.73,0.15203125,142.8125,3.19E-04,https://www.techpowerup.com/cpu-specs/epyc-embedded-9554.c3190,die size = 8*72 mm² (5nm) + 397 (6nm)
EPYC Embedded 9554P,AMD,360,64,5.6,2023,5,9.73,0.15203125,142.8125,3.19E-04,https://www.techpowerup.com/cpu-specs/epyc-embedded-9554p.c3197,die size = 8*72 mm² (5nm) + 397 (6nm)
EPYC Embedded 9654,AMD,360,96,3.8,2023,5,12.61,0.1313541667,95.20833333,2.13E-04,https://www.techpowerup.com/cpu-specs/epyc-embedded-9654.c3189,die size = 12*72 mm² (5nm) + 397 (6nm)
EPYC Embedded 9654P,AMD,360,96,3.8,2023,5,12.61,0.1313541667,95.20833333,2.13E-04,https://www.techpowerup.com/cpu-specs/epyc-embedded-9654p.c3198,die size = 12*72 mm² (5nm) + 397 (6nm)
EPYC 7773X,AMD,280,64,4.4,2022,7,10.64,0.16625,142.8125,3.19E-04,https://www.techpowerup.com/cpu-specs/epyc-7773x.c2759,die size = 8*81 mm² (7nm) + 416 (12nm)
EPYC 7763,AMD,280,64,4.4,2021,7,10.64,0.16625,142.8125,3.19E-04,https://www.techpowerup.com/cpu-specs/epyc-7763.c2373,die size = 8*81 mm² (7nm) + 416 (12nm)
EPYC 7713P,AMD,225,64,3.5,2021,7,10.64,0.16625,142.8125,3.19E-04,https://www.techpowerup.com/cpu-specs/epyc-7713p.c2375,die size = 8*81 mm² (7nm) + 416 (12nm)
EPYC 7713,AMD,225,64,3.5,2021,7,10.64,0.16625,142.8125,3.19E-04,https://www.techpowerup.com/cpu-specs/epyc-7713.c2374,die size = 8*81 mm² (7nm) + 416 (12nm)
EPYC 7663,AMD,240,56,4.3,2021,7,10.64,0.19,163.2142857,3.64E-04,https://www.techpowerup.com/cpu-specs/epyc-7663.c2376,die size = 8*81 mm² (7nm) + 416 (12nm)
EPYC 7643,AMD,225,48,4.7,2021,7,10.64,0.2216666667,190.4166667,4.25E-04,https://www.techpowerup.com/cpu-specs/epyc-7643.c2377,die size = 8*81 mm² (7nm) + 416 (12nm)
EPYC 7573X,AMD,280,32,8.8,2022,7,10.64,0.3325,285.625,6.38E-04,https://www.techpowerup.com/cpu-specs/epyc-7573x.c2760,die size = 8*81 mm² (7nm) + 416 (12nm)
EPYC 75F3,AMD,280,32,8.8,2021,7,10.64,0.3325,285.625,6.38E-04,https://www.techpowerup.com/cpu-specs/epyc-75f3.c2378,die size = 8*81 mm² (7nm) + 416 (12nm)
EPYC 7543P,AMD,225,32,7.0,2021,7,10.64,0.3325,285.625,6.38E-04,https://www.techpowerup.com/cpu-specs/epyc-7543p.c2380,die size = 8*81 mm² (7nm) + 416 (12nm)
EPYC 7543,AMD,225,32,7.0,2021,7,10.64,0.3325,285.625,6.38E-04,https://www.techpowerup.com/cpu-specs/epyc-7543.c2379,die size = 8*81 mm² (7nm) + 416 (12nm)
EPYC 7513,AMD,200,32,6.3,2021,7,10.64,0.3325,285.625,6.38E-04,https://www.techpowerup.com/cpu-specs/epyc-7513.c2381,die size = 8*81 mm² (7nm) + 416 (12nm)
EPYC 7473X,AMD,240,24,10.0,2022,7,10.64,0.4433333333,380.8333333,8.50E-04,https://www.techpowerup.com/cpu-specs/epyc-7473x.c2761,die size = 8*81 mm² (7nm) + 416 (12nm)
EPYC 7453,AMD,225,28,8.0,2021,7,7.4,0.2642857143,326.4285714,7.29E-04,https://www.techpowerup.com/cpu-specs/epyc-7453.c2382,die size = 4*81 mm² (7nm) + 416 (12nm)
EPYC 74F3,AMD,240,24,10.0,2021,7,7.4,0.3083333333,380.8333333,8.50E-04,https://www.techpowerup.com/cpu-specs/epyc-74F3.c2383,die size = 4*81 mm² (7nm) + 416 (12nm)
EPYC 7443P,AMD,200,24,8.3,2021,7,7.4,0.3083333333,380.8333333,8.50E-04,https://www.techpowerup.com/cpu-specs/epyc-7443P.c2385,die size = 4*81 mm² (7nm) + 416 (12nm)
EPYC 7443,AMD,200,24,8.3,2021,7,7.4,0.3083333333,380.8333333,8.50E-04,https://www.techpowerup.com/cpu-specs/epyc-7443.c2384,die size = 4*81 mm² (7nm) + 416 (12nm)
EPYC 7413,AMD,180,24,7.5,2021,7,7.4,0.3083333333,380.8333333,8.50E-04,https://www.techpowerup.com/cpu-specs/epyc-7413.c2386,die size = 4*81 mm² (7nm) + 416 (12nm)
EPYC 7373X,AMD,240,16,15.0,2022,7,10.64,0.665,571.25,1.28E-03,https://www.techpowerup.com/cpu-specs/epyc-7373x.c2762,die size = 8*81 mm² (7nm) + 416 (12nm)
EPYC 73F3,AMD,240,16,15.0,2021,7,10.64,0.665,571.25,1.28E-03,https://www.techpowerup.com/cpu-specs/epyc-73F3.c2387,die size = 8*81 mm² (7nm) + 416 (12nm)
EPYC 7343,AMD,190,16,11.9,2021,7,7.4,0.4625,571.25,1.28E-03,https://www.techpowerup.com/cpu-specs/epyc-73F3.c2388,die size = 4*81 mm² (7nm) + 416 (12nm)
EPYC 7313P,AMD,155,16,9.7,2021,7,7.4,0.4625,571.25,1.28E-03,https://www.techpowerup.com/cpu-specs/epyc-7313P.c2390,die size = 4*81 mm² (7nm) + 416 (12nm)
EPYC 7313,AMD,155,16,9.7,2021,7,7.4,0.4625,571.25,1.28E-03,https://www.techpowerup.com/cpu-specs/epyc-7313P.c2389,die size = 4*81 mm² (7nm) + 416 (12nm)
EPYC 72F3,AMD,180,8,22.5,2021,7,10.64,1.33,1142.5,2.55E-03,https://www.techpowerup.com/cpu-specs/epyc-7313P.c2389,die size = 8*81 mm² (7nm) + 416 (12nm)
EPYC 7251,AMD,120,8,15.0,2017,14,2.13,0.26625,1142.5,2.55E-03,https://www.techpowerup.com/cpu-specs/epyc-7251.c1928,
EPYC 7261,AMD,170,8,21.3,2018,14,2.13,0.26625,1142.5,2.55E-03,https://www.techpowerup.com/cpu-specs/epyc-7261.c2299,
EPYC 7281,AMD,170,8,21.3,2017,14,2.13,0.26625,1142.5,2.55E-03,https://www.techpowerup.com/cpu-specs/epyc-7281.c1927,
EPYC 7301,AMD,170,16,10.6,2017,14,2.13,0.133125,571.25,1.28E-03,https://www.techpowerup.com/cpu-specs/epyc-7301.c1926,
EPYC 7351,AMD,170,16,10.6,2017,14,2.13,0.133125,571.25,1.28E-03,https://www.techpowerup.com/cpu-specs/epyc-7351.c1925,
EPYC 7351P,AMD,170,16,10.6,2017,14,2.13,0.133125,571.25,1.28E-03,https://www.techpowerup.com/cpu-specs/epyc-7351p.c1931,
EPYC 7371,AMD,170,16,10.6,2018,14,2.13,0.133125,571.25,1.28E-03,https://www.techpowerup.com/cpu-specs/epyc-7371.c2121,
EPYC 7401,AMD,170,24,7.1,2017,14,2.13,0.08875,380.8333333,8.50E-04,https://www.techpowerup.com/cpu-specs/epyc-7401.c1924,
EPYC 7401P,AMD,170,24,7.1,2017,14,2.13,0.08875,380.8333333,8.50E-04,https://www.techpowerup.com/cpu-specs/epyc-7401p.c1930,
EPYC 7451,AMD,180,24,7.5,2017,14,2.13,0.08875,380.8333333,8.50E-04,https://www.techpowerup.com/cpu-specs/epyc-7451.c1923,
EPYC 7501,AMD,170,32,5.3,2017,14,2.13,0.0665625,285.625,6.38E-04,https://www.techpowerup.com/cpu-specs/epyc-7501.c1922,
EPYC 7551,AMD,180,32,5.6,2017,14,2.13,0.0665625,285.625,6.38E-04,https://www.techpowerup.com/cpu-specs/epyc-7551.c1921,
EPYC 7551P,AMD,180,32,5.6,2017,14,2.13,0.0665625,285.625,6.38E-04,https://www.techpowerup.com/cpu-specs/epyc-7551p.c1929,
EPYC 7601,AMD,180,32,5.6,2017,14,2.13,0.0665625,285.625,6.38E-04,https://www.techpowerup.com/cpu-specs/epyc-7601.c1920,
A8-7600,AMD,65,4,16.3,2014,28,2.45,0.6125,2285,5.10E-03,https://www.techpowerup.com/cpu-specs/a8-7600.c2615,
EPYC 7452,AMD,155,32,4.8,2019,7,0.74,0.023125,285.625,6.38E-04,https://www.techpowerup.com/cpu-specs/epyc-7452.c2251,
Ryzen 5 7600,AMD,65,6,10.8,2023,5,1.93,0.3216666667,1523.333333,3.40E-03,https://www.techpowerup.com/cpu-specs/ryzen-5-7600.c2959,
Ryzen 7 7700,AMD,65,8,8.1,2023,5,1.82,0.2275,1142.5,2.55E-03,https://www.techpowerup.com/cpu-specs/ryzen-7-7700.c2960,
Ryzen 9 7900,AMD,65,12,5.4,2023,5,2.66,0.2216666667,761.6666667,1.70E-03,https://www.techpowerup.com/cpu-specs/ryzen-9-7900.c2961,
Core i3-13100E,Intel,60,4,15.0,2023,10,2.57,0.6425,2285,5.10E-03,https://www.techpowerup.com/cpu-specs/core-i3-13100e.c3076,
Core i3-13100TE,Intel,35,4,8.8,2023,10,2.57,0.6425,2285,5.10E-03,https://www.techpowerup.com/cpu-specs/core-i3-13100te.c3075,
Core i5-13400,Intel,65,10,6.5,2023,10,2.57,0.257,914,2.04E-03,https://www.techpowerup.com/cpu-specs/core-i5-13400.c2994,
Core i5-13400E,Intel,65,10,6.5,2023,10,2.57,0.257,914,2.04E-03,https://www.techpowerup.com/cpu-specs/core-i5-13400e.c3079,
Core i5-13400F,Intel,65,10,6.5,2023,10,2.57,0.257,914,2.04E-03,https://www.techpowerup.com/cpu-specs/core-i5-13400f.c2995,
Core i5-13490F,Intel,65,10,6.5,2023,10,2.57,0.257,914,2.04E-03,https://www.techpowerup.com/cpu-specs/core-i5-13490f.c3097,
Core i5-13500,Intel,65,14,4.6,2023,10,2.57,0.1835714286,652.8571429,1.46E-03,https://www.techpowerup.com/cpu-specs/core-i5-13500.c2851,
Core i5-13500E,Intel,65,14,4.6,2023,10,2.57,0.1835714286,652.8571429,1.46E-03,https://www.techpowerup.com/cpu-specs/core-i5-13500e.c3078,
Core i5-13500TE,Intel,35,14,2.5,2023,10,2.57,0.1835714286,652.8571429,1.46E-03,https://www.techpowerup.com/cpu-specs/core-i5-13500te.c3077,
Core i7-13700,Intel,65,16,4.1,2023,10,2.57,0.160625,571.25,1.28E-03,https://www.techpowerup.com/cpu-specs/core-i7-13700.c2957,
Core i7-13700E,Intel,65,16,4.1,2023,10,2.57,0.160625,571.25,1.28E-03,https://www.techpowerup.com/cpu-specs/core-i7-13700e.c3081,
Core i7-13700F,Intel,65,16,4.1,2023,10,2.57,0.160625,571.25,1.28E-03,https://www.techpowerup.com/cpu-specs/core-i7-13700f.c2996,
Core i7-13700TE,Intel,35,16,2.2,2023,10,2.57,0.160625,571.25,1.28E-03,https://www.techpowerup.com/cpu-specs/core-i7-13700te.c3080,
Core i7-13790F,Intel,65,16,4.1,2023,10,2.57,0.160625,571.25,1.28E-03,https://www.techpowerup.com/cpu-specs/core-i7-13790f.c3096,
Core i9-13900,Intel,65,24,2.7,2023,10,2.57,0.1070833333,380.8333333,8.50E-04,https://www.techpowerup.com/cpu-specs/core-i9-13900.c2854,
Core i9-13900E,Intel,65,24,2.7,2023,10,2.57,0.1070833333,380.8333333,8.50E-04,https://www.techpowerup.com/cpu-specs/core-i9-13900e.c3082,
Core i9-13900F,Intel,65,24,2.7,2023,10,2.57,0.1070833333,380.8333333,8.50E-04,https://www.techpowerup.com/cpu-specs/core-i9-13900f.c2997,
Core i9-13900KS,Intel,150,24,6.3,2023,10,2.57,0.1070833333,380.8333333,8.50E-04,https://www.techpowerup.com/cpu-specs/core-i9-13900ks.c2956,
Core i9-13900TE,Intel,35,24,1.5,2023,10,2.57,0.1070833333,380.8333333,8.50E-04,https://www.techpowerup.com/cpu-specs/core-i9-13900te.c3083,
Xeon Bronze 3408U,Intel,125,8,15.6,2023,10,19.08,2.385,1142.5,2.55E-03,https://www.techpowerup.com/cpu-specs/xeon-bronze-3408u.c3170,
Xeon Gold 5411N,Intel,165,28,5.9,2023,10,19.08,0.6814285714,326.4285714,7.29E-04,https://www.techpowerup.com/cpu-specs/xeon-gold-5411n.c3152,
Xeon Gold 5412U,Intel,185,24,7.7,2023,10,19.08,0.795,380.8333333,8.50E-04,https://www.techpowerup.com/cpu-specs/xeon-gold-5412u.c3153,
Xeon Gold 5415+,Intel,150,8,18.8,2023,10,19.08,2.385,1142.5,2.55E-03,https://www.techpowerup.com/cpu-specs/xeon-gold-5415.c3164,
Xeon Gold 5416S,Intel,150,16,9.4,2023,10,19.08,1.1925,571.25,1.28E-03,https://www.techpowerup.com/cpu-specs/xeon-gold-5416s.c3161,
Xeon Gold 5418N,Intel,165,24,6.9,2023,10,19.08,0.795,380.8333333,8.50E-04,https://www.techpowerup.com/cpu-specs/xeon-gold-5418n.c3154,
Xeon Gold 5418Y,Intel,185,24,7.7,2023,10,19.08,0.795,380.8333333,8.50E-04,https://www.techpowerup.com/cpu-specs/xeon-gold-5418y.c3155,
